Date,Open,High,Low,Close,Volume
06/18/2024,"30.99","31.47","30.50","30.63","33,294,750"
06/17/2024,"30.34","31.00","30.18","30.98","36,235,320"
06/14/2024,"30.29","30.56","30.21","30.45","28,125,891"
06/13/2024,"30.38","30.58","30.14","30.46","33,787,160"
06/12/2024,"31.46","31.48","30.39","30.76","51,323,941"
06/11/2024,"30.77","31.03","30.53","30.92","25,326,850"
06/10/2024,"30.55","30.95","30.29","30.91","37,445,809"
06/07/2024,"30.25","30.78","30.21","30.74","34,085,527"
06/06/2024,"30.55","30.59","30.16","30.42","34,248,121"
06/05/2024,"30.27","30.84","30.01","30.78","44,161,660"
06/04/2024,"30.75","30.75","29.94","30.03","51,027,180"
06/03/2024,"31.03","31.07","30.05","30.29","35,544,898"
05/31/2024,"30.22","30.96","29.94","30.85","95,797,531"
05/30/2024,"30.21","30.50","30.06","30.19","33,382,762"
05/29/2024,"30.47","30.67","30.11","30.13","35,848,609"
05/28/2024,"30.94","31.37","30.66","31.06","36,799,152"
05/24/2024,"30.29","31.02","30.13","30.72","42,434,488"
05/23/2024,"31.45","31.57","29.87","30.08","62,014,551"
05/22/2024,"31.91","32.07","31.10","31.42","36,706,441"
05/21/2024,"31.98","32.24","31.62","31.74","42,975,359"
05/20/2024,"31.85","32.42","31.76","32.10","31,989,000"
05/17/2024,"32.06","32.11","31.59","31.83","41,449,781"
05/16/2024,"31.63","32.26","31.52","32.03","47,752,832"
05/15/2024,"31.38","31.40","30.81","31.27","36,992,930"
05/14/2024,"30.62","31.11","30.61","31.05","47,759,859"
05/13/2024,"30.03","31.13","30.00","30.51","51,459,141"
05/10/2024,"30.33","30.46","29.84","29.85","42,931,289"
05/09/2024,"29.93","30.39","29.81","30.09","45,003,398"
05/08/2024,"30.00","30.15","29.73","30.00","63,734,602"
05/07/2024,"31.09","31.45","30.61","30.68","44,683,398"
05/06/2024,"31.12","31.20","30.73","30.97","36,185,566"
05/03/2024,"30.98","31.06","30.70","30.90","36,794,832"
05/02/2024,"30.59","30.67","30.19","30.51","50,899,441"
05/01/2024,"30.17","31.04","30.02","30.37","60,654,762"
04/30/2024,"31.04","31.18","30.42","30.47","72,346,359"
04/29/2024,"31.86","31.91","31.07","31.36","58,533,262"
04/26/2024,"31.78","32.24","30.64","31.88","119,742,492"
04/25/2024,"34.56","35.30","34.50","35.11","66,549,398"
04/24/2024,"34.86","35.18","34.34","34.50","53,261,102"
04/23/2024,"34.34","34.60","34.18","34.28","46,834,039"
04/22/2024,"34.42","34.57","34.08","34.41","39,909,930"
04/19/2024,"35.13","35.13","34.18","34.20","59,070,312"
04/18/2024,"35.42","35.66","34.77","35.04","42,334,398"
04/17/2024,"36.10","36.13","35.37","35.68","41,173,352"
04/16/2024,"36.27","36.51","35.76","36.26","30,607,500"
04/15/2024,"36.04","36.70","35.89","36.31","50,751,559"
04/12/2024,"36.69","36.70","35.61","35.69","80,254,789"
04/11/2024,"37.43","37.67","37.08","37.63","41,909,090"
04/10/2024,"38.02","38.22","37.02","37.20","51,108,379"
04/09/2024,"38.05","38.58","37.33","38.33","78,782,977"
04/08/2024,"38.64","38.86","37.91","37.98","56,967,793"
04/05/2024,"39.35","39.46","38.51","38.71","67,263,039"
04/04/2024,"40.59","40.78","39.70","39.73","57,307,230"
04/03/2024,"41.40","41.65","40.22","40.33","83,717,984"
04/02/2024,"43.93","44.08","43.50","43.94","32,748,359"
04/01/2024,"44.29","45.41","44.18","44.52","31,712,590"
03/28/2024,"43.76","44.60","43.71","44.17","54,204,191"
03/27/2024,"42.54","43.83","42.50","43.77","51,017,832"
03/26/2024,"41.95","42.27","41.66","41.99","39,109,648"
03/25/2024,"40.89","42.22","40.57","41.83","47,276,527"
03/22/2024,"42.25","42.80","42.09","42.57","28,503,061"
03/21/2024,"42.99","43.60","42.32","42.42","50,807,594"
03/20/2024,"42.99","43.01","41.41","42.20","74,864,992"
03/19/2024,"42.25","42.29","41.44","42.05","34,672,953"
03/18/2024,"43.09","43.38","42.60","42.71","27,668,279"
03/15/2024,"42.45","43.15","42.35","42.64","66,952,859"
03/14/2024,"43.23","43.35","42.51","42.75","38,100,020"
03/13/2024,"44.51","44.98","43.20","43.23","53,195,930"
03/12/2024,"45.06","45.27","44.46","45.24","31,795,830"
03/11/2024,"43.87","44.93","43.66","44.86","35,050,992"
03/08/2024,"46.44","46.63","44.00","44.00","54,916,602"
03/07/2024,"45.55","46.42","45.18","46.15","50,378,152"
03/06/2024,"43.93","45.51","43.56","44.51","52,652,047"
03/05/2024,"44.56","44.87","42.69","43.16","56,655,141"
03/04/2024,"44.27","46.61","43.85","45.61","59,990,809"
03/01/2024,"43.41","44.27","43.13","43.82","41,426,070"
02/29/2024,"42.37","43.15","42.36","43.05","48,875,121"
02/28/2024,"42.44","42.45","41.91","41.99","26,928,471"
02/27/2024,"43.25","43.27","42.51","42.73","25,126,369"
02/26/2024,"43.50","43.68","42.82","42.99","27,035,381"
02/23/2024,"43.13","43.51","42.66","42.99","33,810,711"
02/22/2024,"44.68","44.68","42.53","42.98","62,809,320"
02/21/2024,"44.48","44.69","43.08","43.47","57,714,969"
02/20/2024,"44.26","45.17","43.42","44.52","61,514,141"
02/16/2024,"44.03","44.22","43.12","43.51","29,975,301"
02/15/2024,"44.76","45.27","44.02","44.05","44,024,512"
02/14/2024,"43.82","44.29","43.39","44.19","36,186,230"
02/13/2024,"43.00","43.63","42.76","43.16","36,622,230"
02/12/2024,"43.39","45.04","43.32","44.03","51,107,352"
02/09/2024,"42.55","43.52","42.40","43.31","51,192,961"
02/08/2024,"42.72","42.97","42.33","42.50","33,206,469"
02/07/2024,"42.89","43.10","42.55","42.78","34,269,246"
02/06/2024,"42.70","42.78","42.14","42.74","34,068,219"
02/05/2024,"42.62","43.15","42.43","42.77","28,890,260"
02/02/2024,"43.00","43.14","41.60","42.60","53,683,500"
02/01/2024,"43.15","43.57","42.49","43.36","38,819,859"
01/31/2024,"42.57","43.79","42.36","43.08","51,584,246"
01/30/2024,"43.67","43.82","42.89","42.92","47,958,762"
01/29/2024,"43.71","43.99","42.81","43.84","51,790,859"
01/26/2024,"44.18","45.41","43.35","43.65","127,665,297"
01/25/2024,"50.00","50.30","48.97","49.55","84,845,086"
01/24/2024,"49.17","49.77","48.27","49.09","49,375,832"
01/23/2024,"48.12","48.94","47.32","48.89","37,224,141"
01/22/2024,"48.85","49.17","47.64","48.22","45,639,520"
01/19/2024,"47.00","48.76","46.44","48.15","55,979,801"
01/18/2024,"47.03","47.57","46.17","46.74","46,681,352"
01/17/2024,"46.42","46.42","45.65","46.06","33,488,020"
01/16/2024,"46.98","47.22","46.38","47.06","43,720,672"
01/12/2024,"47.60","47.67","46.61","47.12","27,587,900"
01/11/2024,"47.44","47.84","46.73","47.64","31,707,881"
01/10/2024,"48.24","48.30","46.94","47.47","31,480,189"
01/09/2024,"48.01","48.56","47.80","48.05","30,097,010"
01/08/2024,"47.07","48.76","46.97","48.45","42,135,129"
01/05/2024,"47.03","47.83","46.64","46.89","34,344,031"
01/04/2024,"45.72","47.16","45.24","46.87","47,797,809"
01/03/2024,"47.10","47.81","46.80","47.05","35,858,434"
01/02/2024,"49.20","49.38","47.45","47.80","45,905,727"
